Feature,Coefficient,Model
Unemployment compensation amount,0.000574380920514723,Random_Forest_Regressor
Taxable Social Security benefits amount,0.006100368495417799,Random_Forest_Regressor
Partnership_S-corp net income (less loss) amount,0.0006134066206259828,Random_Forest_Regressor
Educator expenses amount,0.0002621797747300362,Random_Forest_Regressor
Self-employed (Keogh) retirement plans amount,0.04848142420721196,Random_Forest_Regressor
Self-employed health insurance deduction amount,0.19054424892300492,Random_Forest_Regressor
Individual retirement arrangement payments amount,0.04266335423137466,Random_Forest_Regressor
Student loan interest deduction amount,0.0003697470528179663,Random_Forest_Regressor
Charitable contributions if took standard deduction,0.00036457540995224377,Random_Forest_Regressor
Basic standard deduction amount,0.0011308173834021827,Random_Forest_Regressor
Additional standard deduction amount,0.0002629355561845457,Random_Forest_Regressor
Total medical and dental expense deduction amount,0.014750397860945293,Random_Forest_Regressor
State and local income taxes amount,0.0006789665359441325,Random_Forest_Regressor
State and local general sales tax amount,0.015175398762519351,Random_Forest_Regressor
Real estate taxes amount,0.07603909719681706,Random_Forest_Regressor
Personal property taxes amount,0.002727187081974217,Random_Forest_Regressor
Limited state and local taxes,0.033366071408351586,Random_Forest_Regressor
Home mortgage interest paid amount,0.03864476479563921,Random_Forest_Regressor
Home mortgage from personal seller amount,0.05678870519705608,Random_Forest_Regressor
Deductible points amount,0.028401810503237583,Random_Forest_Regressor
Qualified mortgage insurance premiums amount,0.0002617963687422467,Random_Forest_Regressor
Investment interest paid amount,0.00036729970652167224,Random_Forest_Regressor
Total charitable contributions amount,0.0005212615517002938,Random_Forest_Regressor
Other non-limited miscellaneous deductions amount,0.0006367002615361148,Random_Forest_Regressor
Qualified business income deduction,0.0004831971829652828,Random_Forest_Regressor
Excess advance premium tax credit repayment amount,0.0019151857749752242,Random_Forest_Regressor
Foreign tax credit amount,0.004841698636520564,Random_Forest_Regressor
Child and dependent care credit amount,0.000482686507261105,Random_Forest_Regressor
Nonrefundable education credit amount,0.0005605961409402947,Random_Forest_Regressor
Retirement savings contribution credit amount,0.0003022435237311812,Random_Forest_Regressor
Nonrefundable child and other dependent credit amount,0.0009741902212284149,Random_Forest_Regressor
Residential energy tax credit amount,0.0012775831044218708,Random_Forest_Regressor
Self-employment tax amount,0.028004205675476523,Random_Forest_Regressor
Advance premium tax credit amount,0.0009243021722480921,Random_Forest_Regressor
Earned income credit amount,0.00014220601703584203,Random_Forest_Regressor
Excess earned income credit (refundable) amount,0.0003386223126216068,Random_Forest_Regressor
Refundable child tax credit or additional child tax credit amount,0.00034178709051761887,Random_Forest_Regressor
Refundable education credit amount,0.00016728420731655782,Random_Forest_Regressor
Net premium tax credit amount,0.1731046439958858,Random_Forest_Regressor
"Qualified sick and family leave credit for leave taken before April ,  amount",0.0002508885836260131,Random_Forest_Regressor
Refundable child and dependent care credit,0.0011218440920176948,Random_Forest_Regressor
"Qualified sick and family leave credit for leave taken after March ,",0.0006841565626055052,Random_Forest_Regressor
Recovery rebate credit amount,0.00021787455469911006,Random_Forest_Regressor
"Economic impact payment third round amount ,",0.00020093645258312037,Random_Forest_Regressor
Additional Medicare tax amount,0.005472192769256868,Random_Forest_Regressor
Net investment income tax amount,0.0077751784566425985,Random_Forest_Regressor
